name,type,total_sales,median_year_built,median_area,median_sale_price,median_price_sf
13089023429,tract,49,1999,1250,174000,108.7275693
13089023430,tract,80,2004,1376,136000,104.4891641
13089023431,tract,22,1985,1709,252200,162.5730994
13089023432,tract,49,1999.5,2296,300000,141.0463862
13089023433,tract,58,2000,1527,247600,149.516345
13089023434,tract,48,2000,1663,260950,152.4280104
13089023435,tract,14,2020,1568,288950,169.2046336
13089023436,tract,36,1990,1595,240000,154.2857143
13089023437,tract,73,1999,2494,315000,140.8625107
13089023438,tract,85,2000,1412,179900,115.6217883
13089023439,tract,20,1973,1440,129000,92.42788462
13089023440,tract,60,2006,1908,289500,150.0194336
13089023441,tract,44,1990,2064,280456.5,124.1912843
13089023442,tract,37,1976,2259,279531,134.5728198
13089023443,tract,72,1994,1940.5,311000,145.8738239
13089023444,tract,26,1996,1606,233500,114.4704086
13089023445,tract,57,1969,1958,268000,148.7553127
13089023446,tract,26,1969,1470,237000,145.5501859
13089023447,tract,38,1973,1932,241828,134.5947961
13089023448,tract,21,1968,1720,277300,169.628433
13089023501,tract,53,1953,1287,236000,183.3046472
13089023504,tract,42,1955.5,1371,245500,185.1405224
13089023505,tract,66,1960,1692.5,246078,151.0022165
13089023506,tract,96,1965,1650,239950,146.2599469
13089023507,tract,57,1967,1393,197518,156.0173776
13089023601,tract,65,1950,1429,400000,247.49499
13089023602,tract,44,1956,1317,345000,231.6423081
13089023603,tract,42,1955,1300,249950,179.7393689
13089023701,tract,45,1950,1406,370000,254.1899441
13089023702,tract,58,1954.5,1458,335750,229.6156133
13089023801,tract,94,1962,1430,331000,234.2209073
13089023802,tract,55,1967,1414,220000,182.7386692
13089023803,tract,136,1958,1324.5,271000,194.7986577
13097080104,tract,25,1969,1798,309000,183.0663616
13097080105,tract,20,2006.5,2837.5,383300,139.2055882
13097080106,tract,41,1976,1520,257000,157.9283887
13097080201,tract,78,1971,1502,258200,192.3739009
13097080203,tract,67,1984,1452,275000,188.3116883
13097080204,tract,69,1970,1510,240000,157.4599897
13097080303,tract,49,1964,1367,249000,164.7331787
13097080304,tract,55,1982,1919,251000,142.2238641
13097080305,tract,100,1994.5,1550,251000,157.0388258
13097080306,tract,62,1997,1470,258875,170.0680272
13097080307,tract,68,2002,1465,252500,181.0305943
13097080403,tract,62,1994.5,1437,289400,184.9698703
13097080405,tract,79,1994,2108,362000,186.5671642
13097080406,tract,73,2002,2044,385000,191.6131007
13097080407,tract,95,2004,2373,334900,155.9356137
13097080408,tract,38,1991.5,1414,202500,125.0281658
13097080505,tract,68,1976,1444,260000,173.3851806
13097080506,tract,102,1973,1537,263000,166.4193867
13097080507,tract,65,1988,1931,339900,173.4390486
13097080508,tract,95,1977,1610,279900,163.9131552
13097080509,tract,104,1992,2361.5,340950,167.0196898
13097080512,tract,70,1982.5,1759,285000,163.7473879
13097080513,tract,41,1990,1754,280500,166.858458
13097080514,tract,71,1990,1880,399000,188.8087882
13097080515,tract,67,2001,1716,325000,176.7614339
13097080602,tract,91,1999,1980,345000,168.9189189
13097080605,tract,69,1985,1438,260900,188.0877743
13097080606,tract,71,2004,2076,315000,159.3521421
13097080607,tract,85,1998,2162,355000,165.4064272
13097080608,tract,55,1993,1540,262949,175.8087201
13113140102,tract,80,1980,1977.5,348500,176.149822
13113140103,tract,25,1984.5,2427,385000,176.2496388
13113140104,tract,53,1980,2192,360000,165.4064272
13113140203,tract,54,1998,2437.5,535000,202.4069623
13113140204,tract,72,2004,2246,699450,240.4421822
13113140206,tract,49,1999,2919,649900,257.1785268
13113140207,tract,72,1992,2412,594000,259.989136
13113140209,tract,28,1986,2116,449750,234.2621605
